16787346;521;558;695;625;674;678
16787347;637;601;702;604;667;562
16787348;693;635;705;515;700;567
16787349;608;586;638;560;502;743
16787350;625;536;631;476;499;500
16787351;717;525;564;671;702;538
16787352;592;722;516;565;726;604
16787353;563;615;567;637;553;537
16787354;517;590;535;486;582;701
16787355;572;539;535;584;698;731
16787356;549;546;668;682;629;541
16787357;644;731;574;660;746;658
16787358;574;588;526;534;591;479
16787359;560;592;615;567;674;515
16787360;527;734;673;497;640;652
16787361;634;719;597;583;630;658
16787362;548;736;604;697;545;558
16787363;563;575;609;581;510;526
16787364;691;526;489;703;710;556
16787365;717;529;628;737;748;614
16787366;555;644;691;557;491;579
16787367;712;509;607;514;709;499
16787368;581;713;719;660;739;692
16787369;736;702;699;525;709;661
16787370;626;603;717;620;721;634
16787371;708;683;695;680;705;486
16787372;531;562;560;486;664;544
16787373;616;591;600;560;544;572
16787374;686;625;559;646;733;715
16787375;742;640;603;541;695;653
16787376;655;704;670;476;727;642
16787377;614;601;534;724;615;726
16787378;667;591;497;621;531;675
16787379;575;557;546;486;717;613
16787380;527;669;500;540;522;687
16787381;532;520;537;489;663;559
16787382;684;533;475;617;590;546
16787383;559;480;725;648;550;597
16787384;612;742;732;610;614;553
16787385;697;715;684;588;489;631
16787386;565;637;612;626;507;562
16787387;746;723;503;582;531;577
16787388;496;475;655;676;683;669
16787389;644;551;533;623;601;553
16787390;541;514;590;690;711;725
16787391;738;623;606;507;678;555
16787392;614;682;579;672;528;516
16787393;569;705;552;578;557;488
16787394;702;646;586;659;606;620
16787395;623;707;572;732;509;528
16787396;596;632;682;576;499;508
16787397;710;602;615;535;521;700
16787398;555;572;664;488;560;663
16787399;705;625;672;520;565;572
16787400;663;701;530;514;596;683
16787401;523;552;702;537;743;720
16787402;705;715;691;582;518;598
16787403;477;598;686;618;526;730
16787404;524;508;477;679;481;481
16787405;574;637;701;609;500;748
16787406;484;568;594;481;512;712
16787407;483;579;533;587;527;478
16787408;682;495;667;659;683;520
16787409;546;626;741;499;489;616
16787410;520;519;526;571;488;695
16787411;704;569;741;599;574;704
16787412;717;607;642;684;549;703
16787413;496;632;483;681;651;644
16787414;744;552;534;722;731;561
16787415;621;635;519;614;530;584
16787416;742;599;487;738;614;478
16787417;740;532;518;506;705;504
16787418;640;519;548;641;739;478
16787419;542;596;648;645;737;542
16787420;668;512;642;590;613;532
16787421;728;559;549;612;487;611
16787422;527;612;649;554;552;584
16787423;499;593;493;613;483;538
16787424;674;524;631;683;643;648
16787425;679;669;480;670;674;660
16787426;669;698;546;697;736;503
16787427;724;523;733;489;686;676
16787428;625;635;498;484;698;720
16787429;580;748;530;675;555;508
16787430;533;548;530;491;501;585
16787431;731;546;482;707;506;677
16787432;605;683;686;502;552;630
16787433;592;518;669;586;709;590
16787434;557;518;551;673;554;580
16787435;720;629;643;619;520;589
16787436;602;487;574;599;482;516
16787437;603;707;505;651;481;623
16787438;489;679;574;732;662;483
16787439;572;549;624;553;507;663
16787440;547;665;635;475;652;526
16787441;578;513;565;618;648;652
16787442;607;686;693;665;631;522
16787443;504;528;478;550;547;658
16787444;498;663;628;495;572;637
16787445;632;705;561;519;511;737
